booking_id,day_of_week,is_weekend,is_rack,ADR,net_revenue,net_ADR,lead_bin
RES-00126,Sunday,FALSE,TRUE,0,0,0,0-7 days
RES-00127,Sunday,FALSE,FALSE,0,0,0,15-30 days
RES-00128,Sunday,FALSE,TRUE,0,0,0,31+ days
RES-00129,Sunday,FALSE,FALSE,0,0,0,15-30 days
RES-00130,Sunday,FALSE,TRUE,0,0,0,8-14 days
RES-00131,Sunday,FALSE,TRUE,0,0,0,8-14 days
RES-00132,Sunday,FALSE,FALSE,126.88,253.76,126.88,15-30 days
RES-00133,Monday,FALSE,FALSE,0,0,0,15-30 days
RES-00134,Monday,FALSE,TRUE,0,0,0,31+ days
RES-00135,Monday,FALSE,FALSE,0,0,0,8-14 days
RES-00136,Monday,FALSE,TRUE,0,0,0,8-14 days
RES-00137,Monday,FALSE,FALSE,0,0,0,8-14 days
RES-00138,Wednesday,FALSE,FALSE,234,234,234,0-7 days
RES-00139,Wednesday,FALSE,FALSE,0,0,0,0-7 days
RES-00140,Wednesday,FALSE,FALSE,0,0,0,0-7 days
RES-00141,Wednesday,FALSE,FALSE,0,0,0,0-7 days
RES-00142,Wednesday,FALSE,TRUE,0,0,0,8-14 days
RES-00143,Thursday,FALSE,TRUE,120,298.8,99.6,0-7 days
RES-00144,Thursday,FALSE,FALSE,0,0,0,15-30 days
RES-00145,Thursday,FALSE,TRUE,0,0,0,8-14 days
RES-00146,Thursday,FALSE,FALSE,0,0,0,8-14 days
RES-00147,Friday,TRUE,FALSE,0,0,0,15-30 days
RES-00148,Friday,TRUE,FALSE,131.76,231.9,115.95,31+ days
RES-00149,Friday,TRUE,TRUE,140.4,126.36,126.36,15-30 days
RES-00150,Friday,TRUE,FALSE,0,0,0,31+ days
RES-00151,Friday,TRUE,FALSE,0,0,0,8-14 days
RES-00152,Friday,TRUE,FALSE,0,0,0,0-7 days
RES-00153,Saturday,TRUE,TRUE,0,0,0,15-30 days
RES-00154,Saturday,TRUE,FALSE,0,0,0,15-30 days
RES-00155,Saturday,TRUE,FALSE,0,0,0,15-30 days
RES-00156,Saturday,TRUE,TRUE,0,0,0,15-30 days
RES-00157,Saturday,TRUE,TRUE,256.2,425.29,212.65,15-30 days
RES-00158,Saturday,TRUE,TRUE,0,0,0,8-14 days
RES-00159,Saturday,TRUE,TRUE,0,0,0,8-14 days
RES-00160,Sunday,FALSE,TRUE,0,0,0,8-14 days
RES-00161,Sunday,FALSE,FALSE,0,0,0,15-30 days
RES-00162,Sunday,FALSE,FALSE,0,0,0,8-14 days
RES-00163,Sunday,FALSE,FALSE,0,0,0,15-30 days
RES-00164,Sunday,FALSE,FALSE,0,0,0,8-14 days
RES-00165,Sunday,FALSE,TRUE,0,0,0,8-14 days
RES-00166,Sunday,FALSE,FALSE,174.42,697.68,174.42,15-30 days
RES-00167,Monday,FALSE,FALSE,102,102,102,8-14 days
RES-00168,Monday,FALSE,TRUE,0,0,0,0-7 days
RES-00169,Tuesday,FALSE,FALSE,0,0,0,8-14 days
RES-00170,Tuesday,FALSE,FALSE,19.27,95.95,15.99,15-30 days
RES-00171,Tuesday,FALSE,TRUE,0,0,0,0-7 days
RES-00172,Tuesday,FALSE,FALSE,0,0,0,8-14 days
RES-00173,Wednesday,FALSE,FALSE,211.2,844.8,211.2,8-14 days
RES-00174,Wednesday,FALSE,FALSE,153,126.99,126.99,15-30 days
RES-00175,Wednesday,FALSE,FALSE,169.58,305.24,152.62,15-30 days
RES-00177,Thursday,FALSE,FALSE,0,0,0,8-14 days
RES-00178,Thursday,FALSE,TRUE,0,0,0,8-14 days
RES-00179,Thursday,FALSE,FALSE,0,0,0,8-14 days
RES-00180,Thursday,FALSE,FALSE,0,0,0,8-14 days
RES-00181,Thursday,FALSE,TRUE,0,0,0,8-14 days
RES-00182,Thursday,FALSE,FALSE,0,0,0,0-7 days
RES-00183,Thursday,FALSE,FALSE,102,359.04,89.76,8-14 days
RES-00184,Friday,TRUE,TRUE,0,0,0,15-30 days
RES-00185,Friday,TRUE,TRUE,126.88,105.31,105.31,0-7 days
RES-00186,Friday,TRUE,TRUE,0,0,0,31+ days
RES-00187,Friday,TRUE,FALSE,0,0,0,15-30 days
RES-00188,Friday,TRUE,FALSE,0,0,0,0-7 days
RES-00189,Friday,TRUE,FALSE,0,0,0,31+ days
RES-00190,Friday,TRUE,FALSE,0,0,0,0-7 days
RES-00191,Friday,TRUE,TRUE,207.4,207.4,207.4,0-7 days
RES-00192,Friday,TRUE,TRUE,146.4,292.8,146.4,15-30 days
RES-00193,Friday,TRUE,FALSE,0,0,0,8-14 days
RES-00194,Friday,TRUE,TRUE,0,0,0,31+ days
RES-00195,Saturday,TRUE,TRUE,0,0,0,8-14 days
RES-00196,Saturday,TRUE,FALSE,134.81,134.81,134.81,0-7 days
RES-00197,Saturday,TRUE,TRUE,0,0,0,0-7 days
RES-00198,Saturday,TRUE,FALSE,0,0,0,0-7 days
RES-00199,Saturday,TRUE,FALSE,0,0,0,0-7 days
RES-00200,Saturday,TRUE,FALSE,0,0,0,0-7 days
RES-00201,Saturday,TRUE,FALSE,0,0,0,0-7 days
RES-00202,Saturday,TRUE,TRUE,0,0,0,8-14 days
RES-00203,Sunday,FALSE,TRUE,136.8,120.38,120.38,8-14 days
RES-00204,Sunday,FALSE,TRUE,0,0,0,8-14 days
RES-00205,Sunday,FALSE,TRUE,0,0,0,15-30 days
RES-00206,Sunday,FALSE,FALSE,0,0,0,0-7 days
RES-00207,Sunday,FALSE,FALSE,0,0,0,8-14 days
RES-00208,Sunday,FALSE,TRUE,158.6,158.6,158.6,8-14 days
RES-00209,Sunday,FALSE,FALSE,253.76,253.76,253.76,8-14 days
RES-00210,Sunday,FALSE,FALSE,0,0,0,15-30 days
RES-00211,Sunday,FALSE,TRUE,0,0,0,8-14 days
RES-00212,Monday,FALSE,FALSE,0,0,0,15-30 days
RES-00213,Monday,FALSE,FALSE,378,378,378,0-7 days
RES-00214,Monday,FALSE,TRUE,0,0,0,15-30 days
RES-00215,Tuesday,FALSE,TRUE,0,0,0,8-14 days
RES-00216,Tuesday,FALSE,TRUE,0,0,0,0-7 days
RES-00217,Tuesday,FALSE,FALSE,16.9,69.27,13.85,15-30 days
RES-00218,Tuesday,FALSE,FALSE,102,83.64,83.64,0-7 days
RES-00219,Tuesday,FALSE,FALSE,0,0,0,15-30 days
RES-00220,Tuesday,FALSE,FALSE,0,0,0,0-7 days
RES-00221,Tuesday,FALSE,FALSE,0,0,0,8-14 days
RES-00222,Tuesday,FALSE,FALSE,0,0,0,15-30 days
RES-00223,Tuesday,FALSE,FALSE,0,0,0,15-30 days
RES-00224,Tuesday,FALSE,FALSE,104,91.52,91.52,8-14 days
RES-00225,Wednesday,FALSE,FALSE,0,0,0,8-14 days
RES-00226,Wednesday,FALSE,TRUE,0,0,0,0-7 days
RES-00227,Wednesday,FALSE,FALSE,0,0,0,8-14 days
RES-00228,Thursday,FALSE,FALSE,0,0,0,0-7 days
RES-00229,Thursday,FALSE,FALSE,-306,-1836,-306,0-7 days
RES-00230,Thursday,FALSE,TRUE,0,0,0,0-7 days
RES-00231,Thursday,FALSE,TRUE,240,480,240,8-14 days
RES-00232,Thursday,FALSE,FALSE,0,0,0,0-7 days
RES-00233,Friday,TRUE,FALSE,176.29,877.92,146.32,15-30 days
RES-00234,Friday,TRUE,FALSE,0,0,0,15-30 days
RES-00235,Friday,TRUE,TRUE,136.8,227.09,113.54,0-7 days
RES-00236,Friday,TRUE,FALSE,0,0,0,8-14 days
RES-00237,Friday,TRUE,TRUE,0,0,0,0-7 days
RES-00238,Friday,TRUE,FALSE,0,0,0,0-7 days
RES-00239,Friday,TRUE,TRUE,146.4,120.05,120.05,15-30 days
RES-00240,Friday,TRUE,FALSE,0,0,0,15-30 days
RES-00241,Saturday,TRUE,FALSE,176.29,144.56,144.56,8-14 days
RES-00242,Saturday,TRUE,TRUE,0,0,0,8-14 days
RES-00243,Saturday,TRUE,TRUE,0,0,0,0-7 days
RES-00244,Saturday,TRUE,FALSE,0,0,0,0-7 days
RES-00245,Sunday,FALSE,FALSE,0,0,0,15-30 days
RES-00246,Sunday,FALSE,FALSE,0,0,0,31+ days
RES-00247,Sunday,FALSE,TRUE,0,0,0,0-7 days
RES-00248,Sunday,FALSE,FALSE,43.93,131.78,43.93,15-30 days
RES-00249,Sunday,FALSE,FALSE,0,0,0,0-7 days
RES-00250,Sunday,FALSE,FALSE,117.12,103.07,103.07,15-30 days
RES-00251,Sunday,FALSE,TRUE,0,0,0,8-14 days
RES-00252,Sunday,FALSE,TRUE,0,0,0,15-30 days
RES-00253,Sunday,FALSE,FALSE,0,0,0,0-7 days
RES-00254,Monday,FALSE,FALSE,0,0,0,0-7 days
RES-00255,Monday,FALSE,FALSE,144.5,254.32,127.16,0-7 days
RES-00256,Monday,FALSE,FALSE,0,0,0,8-14 days
RES-00257,Monday,FALSE,TRUE,170,170,170,8-14 days
RES-00258,Monday,FALSE,FALSE,0,0,0,15-30 days
RES-00260,Tuesday,FALSE,TRUE,0,0,0,8-14 days
RES-00261,Tuesday,FALSE,FALSE,0,0,0,8-14 days
RES-00262,Tuesday,FALSE,FALSE,0,0,0,8-14 days
RES-00263,Tuesday,FALSE,FALSE,0,0,0,8-14 days
RES-00264,Tuesday,FALSE,TRUE,170,448.8,149.6,31+ days
RES-00265,Tuesday,FALSE,TRUE,170,340,170,8-14 days
RES-00266,Wednesday,FALSE,TRUE,0,0,0,8-14 days
RES-00267,Wednesday,FALSE,TRUE,0,0,0,15-30 days
RES-00268,Wednesday,FALSE,FALSE,149.6,149.6,149.6,31+ days
RES-00269,Thursday,FALSE,FALSE,102,204,102,8-14 days
RES-00270,Thursday,FALSE,TRUE,0,0,0,0-7 days
RES-00271,Thursday,FALSE,FALSE,0,0,0,8-14 days
RES-00272,Thursday,FALSE,FALSE,0,0,0,8-14 days
RES-00273,Thursday,FALSE,FALSE,0,0,0,0-7 days
RES-00274,Friday,TRUE,FALSE,210.67,210.67,210.67,0-7 days
RES-00275,Friday,TRUE,TRUE,0,0,0,31+ days
RES-00276,Friday,TRUE,FALSE,558.27,558.27,558.27,0-7 days
RES-00277,Friday,TRUE,FALSE,176.29,144.56,144.56,8-14 days
RES-00278,Friday,TRUE,FALSE,0,0,0,0-7 days
RES-00279,Friday,TRUE,FALSE,0,0,0,8-14 days
RES-00280,Friday,TRUE,FALSE,119.34,107.41,107.41,15-30 days
RES-00281,Friday,TRUE,TRUE,622.2,510.2,510.2,8-14 days
RES-00282,Friday,TRUE,FALSE,0,0,0,0-7 days
RES-00283,Saturday,TRUE,FALSE,0,0,0,8-14 days
RES-00284,Saturday,TRUE,FALSE,0,0,0,0-7 days
RES-00285,Saturday,TRUE,FALSE,0,0,0,0-7 days
RES-00286,Saturday,TRUE,TRUE,512.4,420.17,420.17,15-30 days
RES-00287,Saturday,TRUE,FALSE,0,0,0,8-14 days
RES-00289,Saturday,TRUE,FALSE,141.03,141.03,141.03,15-30 days
RES-00290,Saturday,TRUE,FALSE,0,0,0,0-7 days
RES-00291,Sunday,FALSE,FALSE,0,0,0,15-30 days
RES-00292,Sunday,FALSE,FALSE,0,0,0,0-7 days
RES-00293,Sunday,FALSE,FALSE,0,0,0,15-30 days
RES-00294,Sunday,FALSE,FALSE,112.32,606.53,101.09,15-30 days
RES-00295,Sunday,FALSE,FALSE,0,0,0,31+ days
RES-00296,Sunday,FALSE,FALSE,0,0,0,15-30 days
RES-00297,Monday,FALSE,FALSE,96,96,96,0-7 days
RES-00298,Monday,FALSE,FALSE,105.6,422.4,105.6,15-30 days
RES-00299,Monday,FALSE,FALSE,0,0,0,0-7 days
RES-00300,Monday,FALSE,FALSE,0,0,0,8-14 days
RES-00301,Monday,FALSE,FALSE,0,0,0,0-7 days
RES-00302,Monday,FALSE,TRUE,0,0,0,0-7 days
RES-00303,Monday,FALSE,TRUE,0,0,0,0-7 days
RES-00304,Monday,FALSE,FALSE,0,0,0,15-30 days
RES-00305,Monday,FALSE,FALSE,0,0,0,15-30 days
RES-00306,Monday,FALSE,FALSE,0,0,0,8-14 days
RES-00307,Monday,FALSE,TRUE,0,0,0,0-7 days
RES-00308,Tuesday,FALSE,TRUE,170,423.3,141.1,8-14 days
RES-00309,Tuesday,FALSE,TRUE,113.1,305.37,101.79,8-14 days
RES-00310,Tuesday,FALSE,FALSE,0,0,0,8-14 days
RES-00311,Tuesday,FALSE,FALSE,0,0,0,15-30 days
RES-00312,Wednesday,FALSE,FALSE,0,0,0,8-14 days
RES-00313,Wednesday,FALSE,FALSE,0,0,0,8-14 days
RES-00314,Wednesday,FALSE,FALSE,0,0,0,8-14 days
RES-00315,Wednesday,FALSE,TRUE,0,0,0,8-14 days
RES-00316,Thursday,FALSE,TRUE,240,720,240,8-14 days
RES-00317,Thursday,FALSE,TRUE,0,0,0,8-14 days
RES-00318,Thursday,FALSE,FALSE,0,0,0,15-30 days
RES-00319,Friday,TRUE,FALSE,230.58,230.58,230.58,0-7 days
RES-00320,Friday,TRUE,FALSE,0,0,0,8-14 days
RES-00321,Friday,TRUE,FALSE,155.04,155.04,155.04,8-14 days
RES-00322,Friday,TRUE,FALSE,0,0,0,0-7 days
RES-00323,Friday,TRUE,TRUE,0,0,0,0-7 days
RES-00324,Friday,TRUE,FALSE,0,0,0,8-14 days
RES-00325,Friday,TRUE,TRUE,0,0,0,0-7 days
RES-00326,Friday,TRUE,TRUE,0,0,0,0-7 days
RES-00327,Friday,TRUE,TRUE,146.4,146.4,146.4,15-30 days
RES-00328,Wednesday,FALSE,FALSE,105.6,371.71,92.93,31+ days
RES-00329,Tuesday,FALSE,TRUE,210,756,189,0-7 days
RES-00330,Sunday,FALSE,TRUE,210,861,172.2,8-14 days
RES-00331,Wednesday,FALSE,FALSE,105.6,633.6,105.6,0-7 days
RES-00332,Thursday,FALSE,TRUE,170,340,170,15-30 days
RES-00333,Tuesday,FALSE,TRUE,260,234,234,15-30 days
RES-00334,Monday,FALSE,FALSE,189,378,189,31+ days
RES-00335,Thursday,FALSE,FALSE,96,518.4,86.4,31+ days
RES-00336,Monday,FALSE,FALSE,234,1151.28,191.88,0-7 days
RES-00337,Wednesday,FALSE,FALSE,168,1008,168,15-30 days
RES-00338,Tuesday,FALSE,FALSE,96,472.32,78.72,31+ days
RES-00339,Wednesday,FALSE,FALSE,149.6,613.36,122.67,15-30 days
RES-00340,Monday,FALSE,FALSE,168,302.4,151.2,31+ days
RES-00341,Sunday,FALSE,FALSE,234,936,234,8-14 days
RES-00342,Friday,TRUE,FALSE,184.8,975.74,162.62,0-7 days
RES-00343,Friday,TRUE,FALSE,153,275.4,137.7,15-30 days
RES-00344,Friday,TRUE,FALSE,228.8,805.38,201.34,31+ days
RES-00345,Sunday,FALSE,FALSE,168,275.52,137.76,0-7 days
RES-00346,Monday,FALSE,FALSE,208,682.24,170.56,8-14 days
RES-00347,Wednesday,FALSE,FALSE,234,1404,234,8-14 days
RES-00348,Friday,TRUE,FALSE,96,472.32,78.72,0-7 days
RES-00349,Saturday,TRUE,FALSE,234,971.1,194.22,0-7 days
RES-00350,Saturday,TRUE,FALSE,208,748.8,187.2,15-30 days
RES-00351,Wednesday,FALSE,FALSE,153,134.64,134.64,15-30 days
RES-00352,Tuesday,FALSE,FALSE,228.8,187.62,187.62,31+ days
RES-00353,Sunday,FALSE,FALSE,189,1020.6,170.1,31+ days
RES-00354,Saturday,TRUE,FALSE,136,612,122.4,31+ days
RES-00355,Tuesday,FALSE,FALSE,228.8,823.68,205.92,0-7 days
RES-00356,Wednesday,FALSE,TRUE,210,861,172.2,31+ days
RES-00357,Friday,TRUE,FALSE,208,172.64,172.64,8-14 days
RES-00358,Sunday,FALSE,TRUE,210,210,210,15-30 days
RES-00359,Friday,TRUE,TRUE,170,418.2,139.4,31+ days
RES-00360,Wednesday,FALSE,FALSE,189,1134,189,0-7 days
RES-00361,Thursday,FALSE,FALSE,208,416,208,15-30 days
RES-00362,Sunday,FALSE,FALSE,153,459,153,31+ days
RES-00363,Wednesday,FALSE,TRUE,260,468,234,15-30 days
RES-00364,Thursday,FALSE,FALSE,168,604.8,151.2,0-7 days
RES-00365,Friday,TRUE,FALSE,149.6,263.3,131.65,31+ days
RES-00366,Tuesday,FALSE,TRUE,170,139.4,139.4,0-7 days
RES-00367,Monday,FALSE,FALSE,234,971.1,194.22,15-30 days
RES-00368,Sunday,FALSE,FALSE,228.8,562.85,187.62,15-30 days
RES-00369,Tuesday,FALSE,FALSE,96,172.8,86.4,15-30 days
RES-00370,Friday,TRUE,TRUE,210,739.2,184.8,31+ days
RES-00371,Wednesday,FALSE,FALSE,208,624,208,15-30 days
RES-00372,Monday,FALSE,FALSE,234,194.22,194.22,15-30 days
RES-00373,Tuesday,FALSE,TRUE,120,240,120,31+ days
RES-00374,Tuesday,FALSE,FALSE,153,507.96,126.99,31+ days
RES-00375,Saturday,TRUE,FALSE,96,518.4,86.4,31+ days
RES-00376,Saturday,TRUE,TRUE,260,1279.2,213.2,31+ days
RES-00377,Sunday,FALSE,FALSE,153,507.96,126.99,0-7 days
RES-00378,Sunday,FALSE,FALSE,96,432,86.4,0-7 days
RES-00379,Saturday,TRUE,FALSE,136,119.68,119.68,15-30 days
RES-00380,Saturday,TRUE,TRUE,120,120,120,15-30 days
RES-00381,Thursday,FALSE,TRUE,120,528,105.6,31+ days
RES-00382,Thursday,FALSE,TRUE,120,540,108,31+ days
RES-00383,Sunday,FALSE,FALSE,168,443.52,147.84,31+ days
RES-00384,Thursday,FALSE,FALSE,168,504,168,15-30 days
RES-00385,Sunday,FALSE,FALSE,208,170.56,170.56,31+ days
RES-00386,Friday,TRUE,FALSE,136,544,136,8-14 days
RES-00387,Saturday,TRUE,FALSE,105.6,422.4,105.6,15-30 days
RES-00388,Saturday,TRUE,FALSE,96,337.92,84.48,0-7 days
RES-00389,Saturday,TRUE,FALSE,168,697.2,139.44,31+ days
RES-00390,Monday,FALSE,FALSE,208,690.56,172.64,15-30 days
RES-00391,Thursday,FALSE,FALSE,184.8,665.28,166.32,8-14 days
RES-00392,Friday,TRUE,FALSE,234,1170,234,15-30 days
RES-00393,Sunday,FALSE,FALSE,208,732.16,183.04,8-14 days
RES-00394,Saturday,TRUE,FALSE,228.8,1144,228.8,0-7 days
RES-00395,Thursday,FALSE,TRUE,210,369.6,184.8,31+ days
RES-00396,Friday,TRUE,FALSE,136,359.04,119.68,15-30 days
RES-00397,Saturday,TRUE,FALSE,149.6,748,149.6,31+ days
RES-00398,Tuesday,FALSE,TRUE,210,174.3,174.3,0-7 days
RES-00399,Thursday,FALSE,FALSE,234,1165.32,194.22,0-7 days
RES-00400,Thursday,FALSE,FALSE,208,374.4,187.2,31+ days
RES-00401,Wednesday,FALSE,FALSE,108,108,108,15-30 days
RES-00402,Thursday,FALSE,FALSE,228.8,457.6,228.8,0-7 days
RES-00403,Wednesday,FALSE,FALSE,208,1040,208,0-7 days
RES-00404,Wednesday,FALSE,TRUE,170,153,153,15-30 days
RES-00405,Saturday,TRUE,FALSE,96,84.48,84.48,31+ days
RES-00406,Tuesday,FALSE,FALSE,136,564.4,112.88,15-30 days
RES-00407,Sunday,FALSE,FALSE,136,544,136,0-7 days
